Kolonne3;P_values;logp;Kolonne1;Kolonne2;;Molecule;Tanimoto;Euclidean_distance;;;;;;;;;
;4.1158414;6.020013471;;;;3;1;1;;;;;;;;;
;4.3137433;6.066976228;;;;661;0.143089431;0.963535203;;;;;;;;;
;3.8608154;5.956048591;;;;799;0.102857143;0.957273165;;;;;;;;;
;3.7253696;5.920336254;;;;9508;0.12024666;0.948983861;;;;;;;;;
;3.813585;5.943739878;;;;3146;0.123439667;0.935339074;;;;;;;;;
;4.179444;6.035348409;;;;1415;0.123641304;0.90806661;;;;;;;;;
;4.1700793;6.033105238;;;;6792;0.123102867;0.858332997;;;;;;;;;
;3.831058;5.948311191;;;;434;0.115349682;0.855718794;;;;;;;;;
;4.45735;6.099724605;;;;9642;0.115666179;0.841009861;;;;;;;;;
;3.789323;5.937357561;;;;4899;0.106353591;0.83244754;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;Molecule;Mol 3;Mol 661;Mol 799;Mol 9508;Mol 3146;Mol 1415;Mol 6792;Mol 434;Mol 9642;Mol 4899; 
;;;;;;Modified euclidian distance;1;0.963535203;0.957273165;0.948983861;0.935339074;0.90806661;0.858332997;0.855718794;0.841009861;0.83244754;
;;;;;;Tanimoto;1;0.143089431;0.102857143;0.12024666;0.123439667;0.123641304;0.123102867;0.115349682;0.115666179;0.106353591;
