Kolonne3;P_values;logp;Kolonne1;Kolonne2;;;;;;;;;;;;
;41158414;6.02001E+15;;;;;;;;;;;;;;
;43137433;6.06698E+15;;;;;;;;;;;;;;
;38608154;5.95605E+15;;;;;;;;;;;;;;
;37253696;5.92034E+15;;;;;;;;;;;;;;
;3813585;5.94374E+15;;;;;;;;;;;;;;
;4179444;6.03535E+15;;;;;;;;;;;;;;
;41700793;6.03311E+15;;;;;;;;;;;;;;
;3831058;5.94831E+16;;;;;;;;;index;Tanimoto;Euclidean_distance;;;
;445735;6.09972E+14;;;;;;;;;3;1;1;;;
;3789323;5.93736E+15;;;;;;;;;661;0.143089431;0.963535203;;;
;;;;;;;;;;;799;0.102857143;0.957273165;;;
;;;;;;;;;;;9508;0.12024666;0.948983861;;;
;;;;;;;;;;;3146;0.123439667;0.935339074;;;
;;;;;;;;;;;1415;0.123641304;0.90806661;;;
;;;;;;;;;;;6792;0.123102867;0.858332997;;;
;;;;;;;;;;;434;0.115349682;0.855718794;;;
;;;;;;;;;;;9642;0.115666179;0.841009861;;;
;;;;;;;;;;;4899;0.106353591;0.83244754;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Molecule;Euclidean_distance;Tanimoto
;;;;;;;;;;;;;;Mol 3;1;1
;;;;;;;;;;;;;;Mol 661;0.963535203;0.143089431
;;;;;;;;;;;;;; Mol 799;0.957273165;0.102857143
;;;;;;;;;;;;;; Mol 9508;0.948983861;0.12024666
;;;;;;;;;;;;;;Mol 3146;0.935339074;0.123439667
;;;;;;;;;;;;;;Mol 1415;0.90806661;0.123641304
;;;;;;;;;;;;;;Mol 6792;0.858332997;0.123102867
;;;;;;;;;;;;;;Mol 434;0.855718794;0.115349682
;;;;;;;;;;;;;;Mol 9642;0.841009861;0.115666179
;;;;;;;;;;;;;;Mol 4899;0.83244754;0.106353591
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
